organization_code,deployment_code,track_code,track_json,track_uri,track_comments
SWFSC,SWFSC_NEPAC-HUM_202310_ADRIFT_100,TRACK,,,
SWFSC,SWFSC_NEPAC-MBY_201608_PASCAL_004,TRACK,,,
SWFSC,SWFSC_NEPAC-MBY_201608_PASCAL_009,TRACK,,,
SWFSC,SWFSC_NEPAC-MBY_201609_PASCAL_018,TRACK,,,
SWFSC,SWFSC_NEPAC-MBY_202206_ADRIFT_019,TRACK,,,
SWFSC,SWFSC_NEPAC-MBY_202206_ADRIFT_020,TRACK,,,
SWFSC,SWFSC_NEPAC-MBY_202206_ADRIFT_021,TRACK,,,
SWFSC,SWFSC_NEPAC-MBY_202206_ADRIFT_022,TRACK,,,
SWFSC,SWFSC_NEPAC-MBY_202206_ADRIFT_023,TRACK,,,
SWFSC,SWFSC_NEPAC-MBY_202206_ADRIFT_024,TRACK,,,
SWFSC,SWFSC_NEPAC-MBY_202206_ADRIFT_025,TRACK,,,
SWFSC,SWFSC_NEPAC-MBY_202206_ADRIFT_026,TRACK,,,
SWFSC,SWFSC_NEPAC-MBY_202303_ADRIFT_046,TRACK,,,
SWFSC,SWFSC_NEPAC-MBY_202303_ADRIFT_047,TRACK,,,
SWFSC,SWFSC_NEPAC-MBY_202303_ADRIFT_048,TRACK,,,
SWFSC,SWFSC_NEPAC-MBY_202303_ADRIFT_049,TRACK,,,
SWFSC,SWFSC_NEPAC-MBY_202303_ADRIFT_050,TRACK,,,
SWFSC,SWFSC_NEPAC-MBY_202303_ADRIFT_051,TRACK,,,
SWFSC,SWFSC_NEPAC-MBY_202303_ADRIFT_052,TRACK,,,
SWFSC,SWFSC_NEPAC-MBY_202303_ADRIFT_053,TRACK,,,
SWFSC,SWFSC_NEPAC-MBY_202307_ADRIFT_079,TRACK,,,
SWFSC,SWFSC_NEPAC-MBY_202307_ADRIFT_080,TRACK,,,
SWFSC,SWFSC_NEPAC-MBY_202307_ADRIFT_081,TRACK,,,
SWFSC,SWFSC_NEPAC-MBY_202307_ADRIFT_082,TRACK,,,
SWFSC,SWFSC_NEPAC-MBY_202307_ADRIFT_083,TRACK,,,
SWFSC,SWFSC_NEPAC-MBY_202311_ADRIFT_101,TRACK,,,
SWFSC,SWFSC_NEPAC-MBY_202311_ADRIFT_102,TRACK,,,
SWFSC,SWFSC_NEPAC-MBY_202311_ADRIFT_103,TRACK,,,
SWFSC,SWFSC_NEPAC-MBY_202311_ADRIFT_104,TRACK,,,
SWFSC,SWFSC_NEPAC-MBY_202311_ADRIFT_105,TRACK,,,
SWFSC,SWFSC_NEPAC-MBY_202311_ADRIFT_106,TRACK,,,
SWFSC,SWFSC_NEPAC-MBY_202311_ADRIFT_107,TRACK,,,
SWFSC,SWFSC_NEPAC-MBY_202311_ADRIFT_108,TRACK,,,
SWFSC,SWFSC_NEPAC-MND_201608_PASCAL_003,TRACK,,,
SWFSC,SWFSC_NEPAC-MND_201608_PASCAL_010,TRACK,,,
SWFSC,SWFSC_NEPAC-MOB_201609_PASCAL_021,TRACK,,,
SWFSC,SWFSC_NEPAC-MOB_201808_CCES_012,TRACK,,,
SWFSC,SWFSC_NEPAC-MOB_202204_ADRIFT_013,TRACK,,,
SWFSC,SWFSC_NEPAC-ORE_201608_PASCAL_001,TRACK,,,
SWFSC,SWFSC_NEPAC-ORE_201608_PASCAL_011,TRACK,,,
SWFSC,SWFSC_NEPAC-ORE_201608_PASCAL_015,TRACK,,,
SWFSC,SWFSC_NEPAC-ORE_202303_ADRIFT_042,TRACK,,,
SWFSC,SWFSC_NEPAC-ORE_202303_ADRIFT_043,TRACK,,,
SWFSC,SWFSC_NEPAC-ORE_202303_ADRIFT_044,TRACK,,,
SWFSC,SWFSC_NEPAC-ORE_202303_ADRIFT_045,TRACK,,,
SWFSC,SWFSC_NEPAC-ORE_202304_ADRIFT_058,TRACK,,,
SWFSC,SWFSC_NEPAC-ORE_202304_ADRIFT_059,TRACK,,,
SWFSC,SWFSC_NEPAC-ORE_202304_ADRIFT_060,TRACK,,,
SWFSC,SWFSC_NEPAC-ORE_202304_ADRIFT_061,TRACK,,,
SWFSC,SWFSC_NEPAC-ORE_202304_ADRIFT_062,TRACK,,,
SWFSC,SWFSC_NEPAC-ORE_202304_ADRIFT_063,TRACK,,,
SWFSC,SWFSC_NEPAC-ORE_202304_ADRIFT_064,TRACK,,,
SWFSC,SWFSC_NEPAC-ORE_202304_ADRIFT_065,TRACK,,,
SWFSC,SWFSC_NEPAC-ORE_202305_ADRIFT_072,TRACK,,,
SWFSC,SWFSC_NEPAC-ORE_202305_ADRIFT_073,TRACK,,,
SWFSC,SWFSC_NEPAC-ORE_202305_ADRIFT_074,TRACK,,,
SWFSC,SWFSC_NEPAC-ORE_202305_ADRIFT_075,TRACK,,,
SWFSC,SWFSC_NEPAC-ORE_202307_ADRIFT_077,TRACK,,,
SWFSC,SWFSC_NEPAC-ORE_202307_ADRIFT_078,TRACK,,,
SWFSC,SWFSC_NEPAC-ORE_202308_ADRIFT_085,TRACK,,,
SWFSC,SWFSC_NEPAC-ORE_202308_ADRIFT_086,TRACK,,,
SWFSC,SWFSC_NEPAC-ORE_202308_ADRIFT_087,TRACK,,,
SWFSC,SWFSC_NEPAC-PTA_201609_PASCAL_017,TRACK,,,
SWFSC,SWFSC_NEPAC-SFB_202106_ADRIFT_005,TRACK,,,
SWFSC,SWFSC_NEPAC-SFB_202106_ADRIFT_007,TRACK,,,
SWFSC,SWFSC_NEPAC-SFB_202107_ADRIFT_003,TRACK,,,
SWFSC,SWFSC_NEPAC-SFB_202107_ADRIFT_006,TRACK,,,
SWFSC,SWFSC_NEPAC-SFB_202206_ADRIFT_015,TRACK,,,
SWFSC,SWFSC_NEPAC-SFB_202207_ADRIFT_027,TRACK,,,
SWFSC,SWFSC_NEPAC-SFB_202207_ADRIFT_028,TRACK,,,
SWFSC,SWFSC_NEPAC-SFB_202209_ADRIFT_034,TRACK,,,
SWFSC,SWFSC_NEPAC-SFB_202305_ADRIFT_067,TRACK,,,
SWFSC,SWFSC_NEPAC-SFB_202309_ADRIFT_092,TRACK,,,
SWFSC,SWFSC_NEPAC-SND_201609_PASCAL_022,TRACK,,,
SWFSC,SWFSC_NEPAC-SND_201609_PASCAL_023,TRACK,,,
SWFSC,SWFSC_NEPAC-SND_201609_PASCAL_024,TRACK,,,
SWFSC,SWFSC_NEPAC-SND_201609_PASCAL_025,TRACK,,,
